state,action,new_state,reward,terminal,dia_id
"[0,0,0]",greeting,"[4,2,0]",20,0,0
"[4,2,0]",down_ans,"[4,2,0]",20,0,1
"[4,2,0]",down_ans,"[4,2,0]",20,0,2
"[4,2,0]",down_ans,"[4,2,0]",20,0,3
"[4,2,0]",down_ans,"[4,2,1]",20,0,4
"[4,2,1]",end,[],20,1,5
"[0,0,0]",greeting,"[4,2,0]",20,0,0
"[4,2,0]",down_ans,"[4,2,1]",20,0,1
"[4,2,1]",end,[],20,1,2
"[0,0,0]",greeting,"[0,0,1]",20,0,0
"[0,0,1]",end,[],20,1,1
"[0,0,0]",greeting,"[3,3,0]",20,0,0
"[3,3,0]",up_q,"[3,3,0]",20,0,1
"[3,3,0]",up_q,"[2,3,0]",20,0,2
"[2,3,0]",up_no,"[3,3,0]",20,0,3
"[3,3,0]",up_q,"[3,3,0]",20,0,4
"[3,3,0]",up_q,"[3,3,0]",20,0,5
"[3,3,0]",up_q,"[2,3,0]",20,0,6
"[2,3,0]",up_no,"[1,3,1]",20,0,7
"[1,3,1]",end,[],20,1,8
"[0,0,0]",greeting,"[4,1,0]",20,0,0
"[4,1,0]",down_disa,"[4,2,0]",20,0,1
"[4,2,0]",down_ans,"[4,2,0]",20,0,2
"[4,2,0]",down_ans,"[4,2,0]",20,0,3
"[4,2,0]",down_ans,"[4,2,1]",20,0,4
"[4,2,1]",end,[],20,1,5
"[0,0,0]",greeting,"[4,2,0]",20,0,0
"[4,2,0]",down_ans,"[4,2,0]",20,0,1
"[4,2,0]",down_ans,"[4,2,1]",20,0,2
"[4,2,1]",end,[],20,1,3
"[0,0,0]",greeting,"[3,3,0]",20,0,0
"[3,3,0]",up_q,"[2,3,0]",20,0,1
"[2,3,0]",up_no,"[1,3,1]",20,0,2
"[1,3,1]",end,[],20,1,3
"[0,0,0]",greeting,"[3,3,0]",20,0,0
"[3,3,0]",up_q,"[2,3,0]",20,0,1
"[2,3,0]",up_no,"[3,3,0]",20,0,2
"[3,3,0]",up_q,"[3,3,0]",20,0,3
"[3,3,0]",up_q,"[3,3,0]",20,0,4
"[3,3,0]",up_q,"[2,3,0]",20,0,5
"[2,3,0]",up_no,"[1,3,1]",20,0,6
"[1,3,1]",end,[],20,1,7
"[0,0,0]",greeting,"[4,1,0]",20,0,0
"[4,1,0]",down_disa,"[4,1,0]",20,0,1
"[4,1,0]",down_disa,"[4,2,0]",20,0,2
"[4,2,0]",down_ans,"[4,2,1]",20,0,3
"[4,2,1]",end,[],20,1,4
"[0,0,0]",greeting,"[3,3,0]",20,0,0
"[3,3,0]",up_q,"[3,3,0]",20,0,1
"[3,3,0]",up_q,"[3,3,0]",20,0,2
"[3,3,0]",up_q,"[3,3,0]",20,0,3
"[3,3,0]",up_q,"[2,3,0]",20,0,4
"[2,3,0]",up_no,"[4,2,0]",20,0,5
"[4,2,0]",down_ans,"[4,2,0]",20,0,6
"[4,2,0]",down_ans,"[4,2,1]",20,0,7
"[4,2,1]",end,[],20,1,8
"[0,0,0]",greeting,"[0,0,1]",20,0,0
"[0,0,1]",end,[],20,1,1
"[0,0,0]",greeting,"[3,3,0]",20,0,0
"[3,3,0]",up_q,"[2,3,0]",20,0,1
"[2,3,0]",up_no,"[1,3,1]",20,0,2
"[1,3,1]",end,[],20,1,3
"[0,0,0]",greeting,"[3,3,0]",20,0,0
"[3,3,0]",up_q,"[2,3,0]",20,0,1
"[2,3,0]",up_no,"[1,3,1]",20,0,2
"[1,3,1]",end,[],20,1,3
"[0,0,0]",greeting,"[4,2,0]",20,0,0
"[4,2,0]",down_ans,"[4,2,1]",20,0,1
"[4,2,1]",end,[],20,1,2
"[0,0,0]",greeting,"[3,3,0]",20,0,0
"[3,3,0]",up_q,"[3,3,0]",20,0,1
"[3,3,0]",up_q,"[2,3,0]",20,0,2
"[2,3,0]",up_no,"[1,3,1]",20,0,3
"[1,3,1]",end,[],20,1,4
"[0,0,0]",greeting,"[3,3,0]",20,0,0
"[3,3,0]",up_q,"[3,3,0]",20,0,1
"[3,3,0]",up_q,"[3,3,0]",20,0,2
"[3,3,0]",up_q,"[2,3,0]",20,0,3
"[2,3,0]",up_no,"[1,3,1]",20,0,4
"[1,3,1]",end,[],20,1,5
"[0,0,0]",greeting,"[3,3,0]",20,0,0
"[3,3,0]",up_q,"[3,3,0]",20,0,1
"[3,3,0]",up_q,"[2,3,0]",20,0,2
"[2,3,0]",up_no,"[1,3,1]",20,0,3
"[1,3,1]",end,[],20,1,4
"[0,0,0]",greeting,"[4,2,0]",20,0,0
"[4,2,0]",down_ans,"[4,2,1]",20,0,1
"[4,2,1]",end,[],20,1,2
"[0,0,0]",greeting,"[4,2,0]",20,0,0
"[4,2,0]",down_ans,"[4,2,0]",20,0,1
"[4,2,0]",down_ans,"[4,2,1]",20,0,2
"[4,2,1]",end,[],20,1,3
"[0,0,0]",greeting,"[3,3,0]",20,0,0
"[3,3,0]",up_q,"[3,3,0]",20,0,1
"[3,3,0]",up_q,"[2,3,0]",20,0,2
"[2,3,0]",up_no,"[3,3,0]",20,0,3
"[3,3,0]",up_q,"[2,3,0]",20,0,4
"[2,3,0]",up_no,"[0,1,1]",20,0,5
"[0,1,1]",down_disa,[],-30,1,6
"[0,0,0]",greeting,"[3,3,0]",20,0,0
"[3,3,0]",up_q,"[2,3,0]",20,0,1
"[2,3,0]",up_no,"[1,3,1]",20,0,2
"[1,3,1]",end,[],20,1,3
"[0,0,0]",greeting,"[3,3,0]",20,0,0
"[3,3,0]",up_q,"[3,3,0]",20,0,1
"[3,3,0]",up_q,"[3,3,0]",20,0,2
"[3,3,0]",up_q,"[2,3,0]",20,0,3
"[2,3,0]",up_no,"[4,1,0]",20,0,4
"[4,1,0]",down_disa,"[4,2,0]",20,0,5
"[4,2,0]",down_ans,"[4,2,1]",20,0,6
"[4,2,1]",end,[],20,1,7
"[0,0,0]",greeting,"[3,3,0]",20,0,0
"[3,3,0]",up_q,"[3,3,0]",20,0,1
"[3,3,0]",up_q,"[2,3,0]",20,0,2
"[2,3,0]",up_no,"[1,3,1]",20,0,3
"[1,3,1]",end,[],20,1,4
"[0,0,0]",greeting,"[3,3,0]",20,0,0
"[3,3,0]",up_q,"[3,3,0]",20,0,1
"[3,3,0]",up_q,"[2,3,0]",20,0,2
"[2,3,0]",up_no,"[3,3,0]",20,0,3
"[3,3,0]",up_q,"[3,3,0]",20,0,4
"[3,3,0]",up_q,"[3,3,0]",20,0,5
"[3,3,0]",up_q,"[2,3,0]",20,0,6
"[2,3,0]",up_no,"[1,3,1]",20,0,7
"[1,3,1]",end,[],20,1,8
"[0,0,0]",greeting,"[3,3,0]",20,0,0
"[3,3,0]",up_q,"[2,3,0]",20,0,1
"[2,3,0]",up_no,"[4,2,0]",20,0,2
"[4,2,0]",down_ans,"[4,2,1]",20,0,3
"[4,2,1]",end,[],20,1,4
"[0,0,0]",greeting,"[4,2,0]",20,0,0
"[4,2,0]",down_ans,"[4,2,1]",20,0,1
"[4,2,1]",end,[],20,1,2
"[0,0,0]",greeting,"[3,3,0]",20,0,0
"[3,3,0]",up_q,"[3,3,0]",20,0,1
"[3,3,0]",up_q,"[2,3,0]",20,0,2
"[2,3,0]",up_no,"[1,3,1]",20,0,3
"[1,3,1]",end,[],20,1,4
"[0,0,0]",greeting,"[4,2,0]",20,0,0
"[4,2,0]",down_ans,"[4,2,0]",20,0,1
"[4,2,0]",down_ans,"[4,2,1]",20,0,2
"[4,2,1]",end,[],20,1,3
"[0,0,0]",greeting,"[0,0,1]",20,0,0
"[0,0,1]",end,[],20,1,1
"[0,0,0]",greeting,"[4,1,0]",20,0,0
"[4,1,0]",down_disa,"[4,1,1]",20,0,1
"[4,1,1]",end,[],20,1,2
"[0,0,0]",greeting,"[4,2,0]",20,0,0
"[4,2,0]",down_ans,"[4,1,0]",20,0,1
